37	13	U	-3.403139979362691E7	200
transitionprobs	12	26	0.0
transitionprobs	12	27	0.0
transitionprobs	12	28	0.0
transitionprobs	12	29	0.0
transitionprobs	12	30	0.0
transitionprobs	12	31	0.0
transitionprobs	12	32	0.0
transitionprobs	12	33	0.0
transitionprobs	12	34	0.0
transitionprobs	12	35	0.0
transitionprobs	12	36	0.0
transitionprobs	12	37	1.458776431637423E-4
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0
transitionprobs	13	12	0.0
transitionprobs	13	13	0.8938422032638124
transitionprobs	13	14	0.09281437793256735
transitionprobs	13	15	0.008912762645560289
transitionprobs	13	16	0.0
transitionprobs	13	17	0.0
transitionprobs	13	18	0.0
transitionprobs	13	19	0.0
transitionprobs	13	20	0.0
transitionprobs	13	21	0.0
transitionprobs	13	22	0.0
transitionprobs	13	23	0.0
transitionprobs	13	24	0.0
transitionprobs	13	25	0.0
transitionprobs	13	26	0.0
transitionprobs	13	27	0.0
transitionprobs	13	28	0.0
transitionprobs	13	29	0.0
transitionprobs	13	30	0.0
transitionprobs	13	31	0.0
transitionprobs	13	32	0.0
transitionprobs	13	33	0.0
transitionprobs	13	34	0.0
transitionprobs	13	35	0.0
transitionprobs	13	36	0.0
transitionprobs	13	37	0.004430656158060062
transitionprobs	14	1	0.0
transitionprobs	14	2	0.0
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0
transitionprobs	14	5	0.0
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0
transitionprobs	14	12	0.0
transitionprobs	14	13	0.01087278891753388
transitionprobs	14	14	0.9462835176328934
transitionprobs	14	15	0.03843272628884563
transitionprobs	14	16	0.0
transitionprobs	14	17	0.0
transitionprobs	14	18	0.0
transitionprobs	14	19	0.0
transitionprobs	14	20	0.0
transitionprobs	14	21	0.0
transitionprobs	14	22	0.0
transitionprobs	14	23	0.0
transitionprobs	14	24	0.0
transitionprobs	14	25	0.0
transitionprobs	14	26	0.0
transitionprobs	14	27	0.0
transitionprobs	14	28	0.0
transitionprobs	14	29	0.0
transitionprobs	14	30	0.0
transitionprobs	14	31	0.0
transitionprobs	14	32	0.0
transitionprobs	14	33	0.0
transitionprobs	14	34	0.0
transitionprobs	14	35	0.0
transitionprobs	14	36	0.0
transitionprobs	14	37	0.004410967160726937
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	0.0
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0
transitionprobs	15	10	0.0
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0012625993180639616
transitionprobs	15	14	0.08106076014800018
transitionprobs	15	15	0.9139819184371017
transitionprobs	15	16	0.0
transitionprobs	15	17	0.0
transitionprobs	15	18	0.0
transitionprobs	15	19	0.0
transitionprobs	15	20	0.0
transitionprobs	15	21	0.0
transitionprobs	15	22	0.0
transitionprobs	15	23	0.0
transitionprobs	15	24	0.0
transitionprobs	15	25	0.0
transitionprobs	15	26	0.0
transitionprobs	15	27	0.0
transitionprobs	15	28	0.0
transitionprobs	15	29	0.0
transitionprobs	15	30	0.0
transitionprobs	15	31	0.0
transitionprobs	15	32	0.0
transitionprobs	15	33	0.0
transitionprobs	15	34	0.0
transitionprobs	15	35	0.0
transitionprobs	15	36	0.0
transitionprobs	15	37	0.0036947220968339706
transitionprobs	16	1	0.0
transitionprobs	16	2	0.0
transitionprobs	16	3	0.0
transitionprobs	16	4	0.0
transitionprobs	16	5	0.0
transitionprobs	16	6	0.0
transitionprobs	16	7	0.0
transitionprobs	16	8	0.0
transitionprobs	16	9	0.0
transitionprobs	16	10	0.0
transitionprobs	16	11	0.0
transitionprobs	16	12	0.0
transitionprobs	16	13	0.0
transitionprobs	16	14	0.0
transitionprobs	16	15	0.0
transitionprobs	16	16	0.8895169588927552
transitionprobs	16	17	0.09945053992107193
transitionprobs	16	18	0.008893916896919834
transitionprobs	16	19	0.0
transitionprobs	16	20	0.0
transitionprobs	16	21	0.0
transitionprobs	16	22	0.0
transitionprobs	16	23	0.0
transitionprobs	16	24	0.0
transitionprobs	16	25	0.0
transitionprobs	16	26	0.0
transitionprobs	16	27	0.0
transitionprobs	16	28	0.0
transitionprobs	16	29	0.0
transitionprobs	16	30	0.0
transitionprobs	16	31	0.0
transitionprobs	16	32	0.0
transitionprobs	16	33	0.0
transitionprobs	16	34	0.0
transitionprobs	16	35	0.0
transitionprobs	16	36	0.0
transitionprobs	16	37	0.0021385842892531503
transitionprobs	17	1	0.0
transitionprobs	17	2	0.0
transitionprobs	17	3	0.0
transitionprobs	17	4	0.0
transitionprobs	17	5	0.0
transitionprobs	17	6	0.0
transitionprobs	17	7	0.0
transitionprobs	17	8	0.0
transitionprobs	17	9	0.0
transitionprobs	17	10	0.0
transitionprobs	17	11	0.0
transitionprobs	17	12	0.0
transitionprobs	17	13	0.0
transitionprobs	17	14	0.0
transitionprobs	17	15	0.0
transitionprobs	17	16	0.017747461321277358
transitionprobs	17	17	0.9210193184181856
transitionprobs	17	18	0.060617495492440124
transitionprobs	17	19	0.0
transitionprobs	17	20	0.0
transitionprobs	17	21	0.0
transitionprobs	17	22	0.0
transitionprobs	17	23	0.0
transitionprobs	17	24	0.0
transitionprobs	17	25	0.0
transitionprobs	17	26	0.0
transitionprobs	17	27	0.0
transitionprobs	17	28	0.0
transitionprobs	17	29	0.0
transitionprobs	17	30	0.0
transitionprobs	17	31	0.0
transitionprobs	17	32	0.0
transitionprobs	17	33	0.0
transitionprobs	17	34	0.0
transitionprobs	17	35	0.0
transitionprobs	17	36	0.0
transitionprobs	17	37	6.157247680967804E-4
transitionprobs	18	1	0.0
transitionprobs	18	2	0.0
transitionprobs	18	3	0.0
transitionprobs	18	4	0.0
transitionprobs	18	5	0.0
transitionprobs	18	6	0.0
transitionprobs	18	7	0.0
transitionprobs	18	8	0.0
transitionprobs	18	9	0.0
transitionprobs	18	10	0.0
transitionprobs	18	11	0.0
transitionprobs	18	12	0.0
transitionprobs	18	13	0.0
transitionprobs	18	14	0.0
transitionprobs	18	15	0.0
transitionprobs	18	16	0.0018758597205121635
transitionprobs	18	17	0.01314864024133327
transitionprobs	18	18	0.9824884733861458
transitionprobs	18	19	0.0
transitionprobs	18	20	0.0
transitionprobs	18	21	0.0
transitionprobs	18	22	0.0
transitionprobs	18	23	0.0
transitionprobs	18	24	0.0
transitionprobs	18	25	0.0
transitionprobs	18	26	0.0
transitionprobs	18	27	0.0
transitionprobs	18	28	0.0
transitionprobs	18	29	0.0
transitionprobs	18	30	0.0
transitionprobs	18	31	0.0
transitionprobs	18	32	0.0
transitionprobs	18	33	0.0
transitionprobs	18	34	0.0
transitionprobs	18	35	0.0
transitionprobs	18	36	0.0
transitionprobs	18	37	0.0024870266520087463
transitionprobs	19	1	0.0
transitionprobs	19	2	0.0
transitionprobs	19	3	0.0
transitionprobs	19	4	0.0
transitionprobs	19	5	0.0
transitionprobs	19	6	0.0
transitionprobs	19	7	0.0
transitionprobs	19	8	0.0
transitionprobs	19	9	0.0
transitionprobs	19	10	0.0
transitionprobs	19	11	0.0
transitionprobs	19	12	0.0
transitionprobs	19	13	0.0
transitionprobs	19	14	0.0
transitionprobs	19	15	0.0
transitionprobs	19	16	0.0
transitionprobs	19	17	0.0
transitionprobs	19	18	0.0
transitionprobs	19	19	0.8566674499794025
transitionprobs	19	20	0.1341412183098583
transitionprobs	19	21	0.004827951268878544
transitionprobs	19	22	0.0
transitionprobs	19	23	0.0
transitionprobs	19	24	0.0
transitionprobs	19	25	0.0
transitionprobs	19	26	0.0
transitionprobs	19	27	0.0
transitionprobs	19	28	0.0
transitionprobs	19	29	0.0
transitionprobs	19	30	0.0
transitionprobs	19	31	0.0
transitionprobs	19	32	0.0
transitionprobs	19	33	0.0
transitionprobs	19	34	0.0
transitionprobs	19	35	0.0
transitionprobs	19	36	0.0
transitionprobs	19	37	0.004363380441860527
transitionprobs	20	1	0.0
transitionprobs	20	2	0.0
transitionprobs	20	3	0.0
transitionprobs	20	4	0.0
transitionprobs	20	5	0.0
transitionprobs	20	6	0.0
transitionprobs	20	7	0.0
transitionprobs	20	8	0.0
transitionprobs	20	9	0.0
transitionprobs	20	10	0.0
transitionprobs	20	11	0.0
transitionprobs	20	12	0.0
transitionprobs	20	13	0.0
transitionprobs	20	14	0.0
transitionprobs	20	15	0.0
transitionprobs	20	16	0.0
transitionprobs	20	17	0.0
transitionprobs	20	18	0.0
transitionprobs	20	19	0.05913478033105373
transitionprobs	20	20	0.7796521680771366
transitionprobs	20	21	0.15876910225386912
transitionprobs	20	22	0.0
transitionprobs	20	23	0.0
transitionprobs	20	24	0.0
